,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to the property,plot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Utilities,LotConfig,Slope of property,Neighborhood,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house & Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior & Evaluates the present condition of the material on the exterior ,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement & Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,HeatingQC,Central air conditioning,Electrical,First Floor square feet,Second-floor square feet,Low-quality finished square feet (all floors),Above grade (ground) living area square feet,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,KitchenQual, Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,GarageQual,GarageCond,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence,Miscellaneous feature not covered in other categories, $Value of miscellaneous feature,Month Sold (MM) & Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
721,STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,0,4426sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Townhouse End Unit,One story,6,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,169squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,662,Unfinished,0,186,848,Gas forced warm air furnace,Excellent,Yes,SBrkr,848,0,0square feet,848,1,0,1,1,Good,3,Typical Functionality,0,No,Attached to the home,2004.0,RFn,2,420square feet,Typical/Average,TA,Paved,160square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,143000
722,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,8120sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,4,7,1970,1970,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,191,Unfinished,0,673,864,Gas forced warm air furnace,Excellent,Yes,SBrkr,864,0,0square feet,864,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1994.0,Unf,2,463square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2009,Warranty Deed - Conventional,Normal Sale,124500
723,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,8172sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,Single-family Detached,One and one-half story: 2nd level finished,4,6,1954,1972,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,941,941,Gas forced warm air furnace,Excellent,Yes,SBrkr,997,473,0square feet,1470,2,0,4,1,Typical/Average,7,Typical Functionality,0,No,Detached from home,1958.0,Unf,1,548square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,156square feet,0square feet,No,No,No,0,May&2008,Warranty Deed - Conventional,Normal Sale,135000
724,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,86,13286sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,Single-family Detached,One story,9,5,2007,2008,Hip,Standard (Composite) Shingle,Cement Board&CmentBd,Stone ,340squarefeetsqare feet,Excellent&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,1234,Unfinished,0,464,1698,Gas forced warm air furnace,Excellent,Yes,SBrkr,1698,0,0square feet,1698,2,0,3,1,Excellent,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007.0,Fin,3,768square feet,Typical/Average,TA,Paved,327square feet,64square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Feb&2009,Warranty Deed - Conventional,Normal Sale,320000
725,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,6960sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,4,6,1970,1970,Gable,Standard (Composite) Shingle,Hard Board&Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,375,Below Average Living Quarters,239,250,864,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,864,0,0square feet,864,1,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,1989.0,Unf,2,660square feet,Typical/Average,TA,Paved,96square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,Shed (over 100 SF),500,Nov&2009,Warranty Deed - Conventional,Normal Sale,120500
726,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,21695sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,Crawfor,Normal,Single-family Detached,One story,6,9,1988,2007,Hip,Standard (Composite) Shingle,Wood Siding&Plywood,Brick Face,260squarefeetsqare feet,Good&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,808,Unfinished,0,72,880,Gas forced warm air furnace,Excellent,Yes,SBrkr,1680,0,0square feet,1680,2,0,3,1,Good,5,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1988.0,Fin,2,540square feet,Typical/Average,TA,Paved,292square feet,44square feet,0square feet,182square feet,0square feet,0square feet,No,No,No,0,Dec&2009,Warranty Deed - Conventional,Normal Sale,222000
727,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,64,7314sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,7,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,82squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,724,Unfinished,0,508,1232,Gas forced warm air furnace,Excellent,Yes,SBrkr,1232,0,0square feet,1232,2,0,2,1,Good,6,Typical Functionality,0,No,Attached to the home,2007.0,RFn,2,632square feet,Typical/Average,TA,Paved,132square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Feb&2009,Warranty Deed - Conventional,Normal Sale,194500
728,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,85,11475sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Normal,Duplex,One story,5,5,1958,1958,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,95squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1584,1584,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1776,0,0square feet,1776,2,0,4,2,Typical/Average,9,Typical Functionality,0,No,Detached from home,1968.0,Unf,3,888square feet,Typical/Average,TA,Paved,0square feet,25square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",110000
729,1-STORY 1945 & OLDER,RM,52,6240sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,IDOTRR,Normal,Single-family Detached,One and one-half story: 2nd level finished,4,5,1925,1950,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,152,Unfinished,0,628,780,Gas forced warm air furnace,Average/Typical,Yes,FuseA,848,0,360square feet,1208,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1962.0,Unf,2,539square feet,Typical/Average,TA,Paved,0square feet,23square feet,112square feet,0square feet,0square feet,0square feet,No,No,No,0,Jan&2009,Warranty Deed - Conventional,Normal Sale,103000
730,STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,39,5389sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,StoneBr,Normal,Townhouse End Unit,One story,8,5,1995,1996,Gable,Standard (Composite) Shingle,Cement Board&CmentBd,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,1180,Unfinished,0,415,1595,Gas forced warm air furnace,Excellent,Yes,SBrkr,1616,0,0square feet,1616,2,0,2,1,Good,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1995.0,RFn,2,608square feet,Typical/Average,TA,Paved,237square feet,152square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2010,Warranty Deed - Conventional,Normal Sale,236500
731,SPLIT OR MULTI-LEVEL,Residential Low-Density,73,9590sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,Timber,Normal,Single-family Detached,Split Level,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,442squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,786,Unfinished,0,82,868,Gas forced warm air furnace,Excellent,Yes,SBrkr,1146,0,0square feet,1146,2,0,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2003.0,Fin,2,438square feet,Typical/Average,TA,Paved,160square feet,22square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2007,Warranty Deed - Conventional,Normal Sale,187500
732,2-STORY 1946 & NEWER,Residential Low-Density,75,11404sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,7,5,1998,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,202squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),ALQ,252,Unfinished,0,901,1153,Gas forced warm air furnace,Excellent,Yes,SBrkr,1153,878,0square feet,2031,2,1,3,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1998.0,Fin,2,541square feet,Typical/Average,TA,Paved,192square feet,84square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2008,Warranty Deed - Conventional,Normal Sale,222500
733,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,10000sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,Sawyer,Adjacent to feeder street&Normal,Single-family Detached,One story,5,6,1961,1983,Hip,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,594,Unfinished,0,270,864,Gas forced warm air furnace,Excellent,Yes,SBrkr,1144,0,0square feet,1144,1,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1961.0,RFn,1,264square feet,Typical/Average,TA,Paved,165square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Good Wood,Shed (over 100 SF),400,Mar&2009,Warranty Deed - Conventional,Normal Sale,131400
734,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8978sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,Sawyer,Normal,Single-family Detached,One story,5,5,1968,1968,Gable,Standard (Composite) Shingle,Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,948,948,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,948,0,0square feet,948,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1968.0,Unf,1,300square feet,Typical/Average,TA,Paved,147square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2007,Warranty Deed - Conventional,Sale between family members,108000
735,2-1/2 STORY ALL AGES,RM,60,10800sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,OldTown,Normal,Single-family Detached,Two and one-half story: 2nd level unfinished,7,7,1914,1970,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,Rec,390,Unfinished,0,490,880,Gas hot water or steam heat,Fair,No,SBrkr,880,888,0square feet,1768,1,1,2,1,Typical/Average,6,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1914.0,Unf,2,320square feet,Typical/Average,TA,Dirt/Gravel,0square feet,341square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Oct&2006,Warranty Deed - Conventional,Normal Sale,163000
736,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,60,8544sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Duplex,One story,3,4,1950,1950,Gable,Standard (Composite) Shingle,Stucco&Stone,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,No,No& No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Good,No,FuseF,1040,0,0square feet,1040,2,0,2,2,Typical/Average,6,Typical Functionality,0,No,Detached from home,1949.0,Unf,2,400square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2006,Warranty Deed - Conventional,Normal Sale,93500
737,2-STORY 1946 & NEWER,Residential Low-Density,72,10463sqare feet,Paved,Slightly irregular,Hillside - Significant slope from side to side,AllPub,CulDSac,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,8,5,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,893,893,Gas forced warm air furnace,Excellent,Yes,SBrkr,901,900,0square feet,1801,2,1,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Fin,3,800square feet,Typical/Average,TA,Paved,0square feet,116square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2006,Warranty Deed - Conventional,Normal Sale,239900
738,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,60,10800sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,Duplex,One story,5,5,1987,1988,Gable,Standard (Composite) Shingle,Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Good&Good Exposure,GLQ,1200,Unfinished,0,0,1200,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1200,0,0square feet,1200,3,0,3,1,Typical/Average,5,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Paved,120square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2009,Warranty Deed - Conventional,"Allocation - two linked properties with separate deeds, typically condo with a garage unit",179000
739,2-STORY 1946 & NEWER,Residential Low-Density,65,9313sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,7,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,864,864,Gas forced warm air furnace,Excellent,Yes,SBrkr,864,864,0square feet,1728,2,1,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2004.0,RFn,2,572square feet,Typical/Average,TA,Paved,187square feet,56square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2009,Warranty Deed - Conventional,Normal Sale,190000
740,2-STORY 1945 & OLDER,RM,60,9600sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,OldTown,Normal,Single-family Detached,Two-story,5,7,1910,2002,Gable,Standard (Composite) Shingle,Wood Siding&Wd Shng,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile, Fair (70-79 inches),Fair - dampness or some cracking or settling& No Exposure,Unf,0,Unfinished,0,264,264,Gas forced warm air furnace,Excellent,Yes,SBrkr,768,664,0square feet,1432,2,0,2,1,Typical/Average,7,Typical Functionality,0,No,Detached from home,1910.0,Unf,2,360square feet,Typical/Average,Gd,Paved,270square feet,0square feet,112square feet,0square feet,0square feet,0square feet,No,Good Privacy,No,0,May&2007,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",132000
741,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,6768sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Adjacent to feeder street&Normal,Single-family Detached,One story,6,8,1961,1996,Hip,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Mimimum Exposure,GLQ,832,Unfinished,0,80,912,Gas forced warm air furnace,Good,Yes,SBrkr,912,0,0square feet,912,1,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,1962.0,Unf,1,288square feet,Typical/Average,TA,Paved,168square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Good Privacy,No,0,May&2008,Warranty Deed - Conventional,Normal Sale,142000
742,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,8450sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,SawyerW,Normal,Single-family Detached,One story,7,5,2000,2001,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,108squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1349,1349,Gas forced warm air furnace,Excellent,Yes,SBrkr,1349,0,0square feet,1349,2,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,2000.0,Unf,2,539square feet,Typical/Average,TA,Paved,120square feet,55square feet,0square feet,0square feet,0square feet,0square feet,No,Good Privacy,No,0,Dec&2007,Warranty Deed - Conventional,Normal Sale,179000
743,SPLIT OR MULTI-LEVEL,Residential Low-Density,70,12886sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Normal,Single-family Detached,Split Level,5,6,1963,1999,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),ALQ,444,Unfinished,0,76,520,Gas forced warm air furnace,Excellent,Yes,SBrkr,1464,0,0square feet,1464,2,0,3,1,Typical/Average,6, Minor Deductions 2,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1997.0,RFn,2,480square feet,Typical/Average,TA,Paved,302square feet,0square feet,0square feet,0square feet,100square feet,0square feet,No,No,No,0,Oct&2009,Warranty Deed - Conventional,Normal Sale,175000
744,STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,41,5395sqare feet,Paved,Slightly irregular,Hillside - Significant slope from side to side,AllPub,Inside,Gentle slope,StoneBr,Normal,Townhouse End Unit,One story,8,5,1993,1993,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,733,Unfinished,0,604,1337,Gas forced warm air furnace,Good,Yes,SBrkr,1337,0,0square feet,1337,2,0,2,1,Good,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1993.0,RFn,2,462square feet,Typical/Average,TA,Paved,96square feet,0square feet,70square feet,168square feet,0square feet,0square feet,No,No,No,0,Oct&2008,Warranty Deed - Conventional,Normal Sale,180000
745,2-STORY 1946 & NEWER,Residential Low-Density,0,8963sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NWAmes,Normal,Single-family Detached,Two-story,8,9,1976,1996,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,289squarefeetsqare feet,Excellent&['ExterCond'],Cinder Block,Typical (80-89 inches),Good& No Exposure,GLQ,575,Average Living Quarters,80,487,1142,Gas forced warm air furnace,Excellent,Yes,SBrkr,1175,1540,0square feet,2715,3,1,4,1,Good,11,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1994.0,Fin,2,831square feet,Typical/Average,TA,Paved,0square feet,204square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2008,Warranty Deed - Conventional,Normal Sale,299800
746,2-STORY 1946 & NEWER,Residential Low-Density,0,8795sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,7,5,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,300,Unfinished,0,652,952,Gas forced warm air furnace,Excellent,Yes,SBrkr,980,1276,0square feet,2256,2,1,4,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),2000.0,Fin,2,554square feet,Typical/Average,TA,Paved,224square feet,54square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2009,Warranty Deed - Conventional,Normal Sale,236000
747,2-STORY 1945 & OLDER,RM,65,11700sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,OldTown,Normal,Single-family Detached,Two-story,7,7,1880,2003,Mansard,Standard (Composite) Shingle,Stucco,,0squarefeetsqare feet,Good&['ExterCond'],Stone,Typical (80-89 inches),Fair - dampness or some cracking or settling& No Exposure,Unf,0,Unfinished,0,1240,1240,Gas hot water or steam heat,Average/Typical,No,SBrkr,1320,1320,0square feet,2640,1,1,4,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1950.0,Unf,4,864square feet,Typical/Average,TA,Dirt/Gravel,181square feet,0square feet,386square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2009,Warranty Deed - Conventional,Normal Sale,265979
748,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,59,10593sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NoRidge,Normal,Single-family Detached,One story,7,5,1996,1996,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,338squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,919,Unfinished,0,801,1720,Gas forced warm air furnace,Excellent,Yes,SBrkr,1720,0,0square feet,1720,2,0,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1996.0,Fin,2,527square feet,Typical/Average,TA,Paved,240square feet,56square feet,154square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2010,Warranty Deed - Conventional,Normal Sale,260400
749,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,50,8405sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,Single-family Detached,One and one-half story: 2nd level finished,4,3,1945,1950,Gable,Standard (Composite) Shingle,WdShing&Wd Shng,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Slab,No,No& No Exposure,No,0,No,0,0,0,all furnace,Average/Typical,No,FuseF,1088,441,0square feet,1529,2,0,4,1,Typical/Average,9, Moderate Deductions,0,No,Detached from home,1945.0,Unf,1,240square feet,Typical/Average,TA,Dirt/Gravel,92square feet,0square feet,185square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2009,Warranty Deed - Conventional,Normal Sale,98000
750,1-1/2 STORY FINISHED ALL AGES,RM,55,8800sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,OldTown,Normal,Single-family Detached,One and one-half story: 2nd level finished,4,7,1910,2004,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Fair - dampness or some cracking or settling& No Exposure,Unf,0,Unfinished,0,576,576,Gas forced warm air furnace,Good,Yes,SBrkr,792,348,0square feet,1140,1,0,3,1,Typical/Average,7, Minor Deductions 2,0,No,No,,No,0,0square feet,No,No,Dirt/Gravel,0square feet,160square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2010,Warranty Deed - Conventional,Normal Sale,96500
751,2-STORY 1946 & NEWER,Residential Low-Density,0,7750sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Gilbert,RRAn&Normal,Single-family Detached,Two-story,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,660,660,Gas forced warm air furnace,Excellent,Yes,SBrkr,660,660,0square feet,1320,2,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,2003.0,Fin,2,400square feet,Typical/Average,TA,Paved,0square feet,48square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Aug&2007,Warranty Deed - Conventional,Normal Sale,162000
752,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,79,9236sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,6,5,1997,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,GLQ,1200,Unfinished,0,279,1479,Gas forced warm air furnace,Excellent,Yes,SBrkr,1494,0,0square feet,1494,2,0,3,1,Good,6,Typical Functionality,0,No,Attached to the home,1997.0,RFn,2,576square feet,Typical/Average,TA,Paved,168square feet,27square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2006,Warranty Deed - Conventional,Normal Sale,217000
